"slicenum","time","condition","censor","subnum","subgroup","run","cc200_LR_Thalamus","cc200_L_Thalamus","cc200_R_Thalamus","cc200_Thalamus"
37,NA,NA,1,"7647","proband","Pulse60",100.574,100.561,100.271,100.574
38,NA,NA,1,"7647","proband","Pulse60",101.468,102.045,101.212,101.468
39,NA,NA,1,"7647","proband","Pulse60",102.166,103.537,101.44,102.166
40,NA,NA,1,"7647","proband","Pulse60",101.931,103.031,101.079,101.931
41,NA,NA,1,"7647","proband","Pulse60",101.158,102.286,100.552,101.158
42,NA,NA,1,"7647","proband","Pulse60",101.278,101.729,100.398,101.278
43,NA,NA,1,"7647","proband","Pulse60",101.092,101.446,100.191,101.092
44,NA,NA,1,"7647","proband","Pulse60",100.523,100.598,100.079,100.523
45,NA,NA,1,"7647","proband","Pulse60",100.229,100.341,100.027,100.229
46,NA,NA,1,"7647","proband","Pulse60",100.214,100.206,100.057,100.214
47,NA,NA,1,"7647","proband","Pulse60",99.9676,100.089,99.7321,99.9676
48,NA,NA,1,"7647","proband","Pulse60",99.4771,99.2203,99.1887,99.4771
49,NA,NA,1,"7647","proband","Pulse60",99.1774,98.9897,99.3031,99.1774
50,NA,NA,1,"7647","proband","Pulse60",99.8683,99.9292,99.3943,99.8683
51,NA,NA,1,"7647","proband","Pulse60",100.137,100.586,99.582,100.137
52,NA,NA,1,"7647","proband","Pulse60",99.7363,99.6451,99.0896,99.7363
53,NA,NA,1,"7647","proband","Pulse60",99.6524,99.4934,99.6341,99.6524
54,NA,NA,1,"7647","proband","Pulse60",98.809,98.3836,99.4922,98.809
55,NA,NA,1,"7647","proband","Pulse60",99.047,98.7592,99.5845,99.047
56,NA,NA,1,"7647","proband","Pulse60",98.9783,98.8266,99.7009,98.9783
57,NA,NA,1,"7647","proband","Pulse60",99.5444,99.2776,99.9097,99.5444
58,NA,NA,1,"7647","proband","Pulse60",100.896,100.736,100.228,100.896
59,NA,NA,1,"7647","proband","Pulse60",101.039,101.544,100.431,101.039
60,NA,NA,1,"7647","proband","Pulse60",99.8362,100.029,99.7358,99.8362
